"item_id","sales_order_id","product_name","job_card_id","custom_title","material","width","height","qty","unit","selling_rate","discount","tax_type","taxable_amount","gst_rate","estimated_cost","actual_cost","outsource","vendor_name","designer_name","printer_name","finisher_name","production_status"
"QT-ITEM-1","QT-2026-0101","Stainless Steel Titanium Gold 3D Metal Letters","JC-QT-2026-0101-QT-ITEM-1","","SS 304 Sheet 1.2mm Titanium Gold","12","3","1","Sq.Ft","1200","0","ETR (Exclusive Tax)","43200","18","23400","23400","YES","LaserCraft India (Metal Letters)","","","","Quotation"
"QT-ITEM-2","QT-2026-0102","Canopy Tent 6x6 ft with 4-Side Branded Flex","JC-QT-2026-0102-QT-ITEM-2","","Canopy Tent 6x6 ft Frame & Flex","6","6","5","Set","6500","1000","ETR (Exclusive Tax)","31500","18","19000","19000","YES","National Flex & Billboard Printing","Rahul Studio (In-house)","","","Quotation"
"ITEM-SO-1786597879733-1","SO-1786597879733","In-house Flex Banner","JC-SO-1786597879733-1","","","0","0","2","Sq.Ft","500","0","GST_18","1000","18","0","0","NO","","","","","New"
"ITEM-SO-1786597879733-2","SO-1786597879733","Metal Letter Outsource","JC-SO-1786597879733-2","","","0","0","1","Sq.Ft","6000","0","GST_18","6000","18","0","0","YES","Vendor A Metal Signage","","","","New"
"ITEM-SO-1786597879733-3","SO-1786597879733","3D Acrylic Outsource","JC-SO-1786597879733-3","","","0","0","1","Sq.Ft","5500","0","GST_18","5500","18","0","0","YES","Vendor B Acrylics","","","","New"
"ITEM-501","SO-2026-0850","Star Flex Banner Printing (240gsm Frontlit)","JC-SO-2026-0850-ITEM-501","","Star Flex 240gsm (Frontlit)","20","10","15","Sq.Ft","15","3000","NTR (No Tax)","42000","18","22500","22000","YES","National Flex & Billboard Printing","","","","Delivered"
"ITEM-401","SO-2026-0870","Stainless Steel Titanium Gold 3D Metal Letters","JC-SO-2026-0870-ITEM-401","","SS 304 Sheet 1.2mm Titanium Gold","12","3","1","Sq.Ft","1200","0","ETR (Exclusive Tax)","43200","18","23400","22000","YES","LaserCraft India (Metal Letters)","Vikram Arts (Senior 3D Signage)","","","Delivered"
"ITEM-301","SO-2026-0885","Rollup Standee (Aluminum Frame 2x5 ft)","JC-SO-2026-0885-ITEM-301","","Standee Rollup Aluminum 2x5ft","2","5","50","Pcs","1400","2000","ITR (Inclusive Tax)","68000","18","37500","36000","NO","","Ananya Creatives (Branding Spec)","","","Delivered"
"ITEM-1","SO-2026-0891","3mm Acrylic 3D LED Glow Sign Board","JC-SO-2026-0891-ITEM-1","","3mm Cast Acrylic Sheet","10","4","1","Sq.Ft","850","0","ETR (Exclusive Tax)","34000","18","19200","18500","YES","Apex Acrylic Cutters & Engravers","Vikram Arts (Senior 3D Signage)","","","Printing"
"ITEM-2","SO-2026-0891","Eco-Solvent Glossy Vinyl Printing","JC-SO-2026-0891-ITEM-2","","Eco-Solvent Glossy Vinyl","8","6","2","Sq.Ft","45","0","ETR (Exclusive Tax)","4320","18","2112","2112","NO","","","","","Printing"
"ITEM-101","SO-2026-0892","Star Flex Banner Printing (240gsm Frontlit)","JC-SO-2026-0892-ITEM-101","","Star Flex 240gsm (Frontlit)","10","5","10","Sq.Ft","15","500","ETR (Exclusive Tax)","7000","18","3750","3750","YES","National Flex & Billboard Printing","","","","Ready for Delivery"
"ITEM-201","SO-2026-0893","Canopy Tent 6x6 ft with 4-Side Branded Flex","JC-SO-2026-0893-ITEM-201","","Canopy Tent 6x6 ft Frame & Flex","6","6","2","Set","6500","0","ETR (Exclusive Tax)","13000","18","7600","7600","YES","National Flex & Billboard Printing","Rahul Studio (In-house)","","","Design"
"1.0","SO-2026-0904","NOTICE","JC-0904-1","","PVC Self-Adhesive Film","10","4","1","Sq.Ft","25","0","ETR (Exclusive Tax)","1000","18","480","480","YES","Apex Acrylic Cutters & Engravers","","","","New"
"ITEM-SO-TEST-001-1","SO-TEST-001","In-house Flex Banner","JC-SO-TEST-001-1","","","0","0","2","Sq.Ft","500","0","GST_18","1000","18","0","0","NO","","","","","New"
"ITEM-SO-TEST-001-2","SO-TEST-001","Metal Letter Outsource","JC-SO-TEST-001-2","","","0","0","1","Sq.Ft","6000","0","GST_18","6000","18","0","0","YES","Vendor A Metal Signage","","","","New"
"ITEM-SO-TEST-001-3","SO-TEST-001","3D Acrylic Outsource","JC-SO-TEST-001-3","","","0","0","1","Sq.Ft","5500","0","GST_18","5500","18","0","0","YES","Vendor B Acrylics","","","","New"
