"purchase_id","outsource_number","order_id","item_id","supplier_id","supplier_name","work_description","quantity","outsource_cost","status","expected_date","sent_date","received_date","created_at"
"OUT-JC-0904-1","OUT-JC-0904-1","SO-2026-0904","1.0","VEN-01","Apex Acrylic Cutters & Engravers","NOTICE (PVC Self-Adhesive Film)","1","0","SENT","2026-08-15","2026-08-13","","2026-08-13 06:29:01"
"OUT-JC-SO-1786597879733-2","OUT-JC-SO-1786597879733-2","SO-1786597879733","ITEM-SO-1786597879733-2","VEN-01","Vendor A Metal Signage","Metal Letter Outsource (Custom Outsource)","1","4000","SENT","","2026-08-13","","2026-08-13 05:11:19"
"OUT-JC-SO-1786597879733-3","OUT-JC-SO-1786597879733-3","SO-1786597879733","ITEM-SO-1786597879733-3","VEN-02","Vendor B Acrylics","3D Acrylic Outsource (Custom Outsource)","1","3500","SENT","","2026-08-13","","2026-08-13 05:11:19"
"OUT-JC-SO-TEST-001-2","OUT-JC-SO-TEST-001-2","SO-TEST-001","ITEM-SO-TEST-001-2","VEN-01","Vendor A Metal Signage","Metal Letter Outsource (Custom Outsource)","1","4000","SENT","","2026-08-13","","2026-08-13 05:10:50"
"OUT-JC-SO-TEST-001-3","OUT-JC-SO-TEST-001-3","SO-TEST-001","ITEM-SO-TEST-001-3","VEN-02","Vendor B Acrylics","3D Acrylic Outsource (Custom Outsource)","1","3500","SENT","","2026-08-13","","2026-08-13 05:10:50"
"OUT-JC-QT-2026-0101-QT-ITEM-1","OUT-JC-QT-2026-0101-QT-ITEM-1","QT-2026-0101","QT-ITEM-1","VEN-03","LaserCraft India (Metal Letters)","Stainless Steel Titanium Gold 3D Metal Letters","1","23400","SENT","2026-08-07","2026-08-01","","2026-08-13 05:04:10"
"OUT-JC-QT-2026-0102-QT-ITEM-2","OUT-JC-QT-2026-0102-QT-ITEM-2","QT-2026-0102","QT-ITEM-2","VEN-02","National Flex & Billboard Printing","Canopy Tent 6x6 ft with 4-Side Branded Flex","5","19000","SENT","2026-08-10","2026-08-02","","2026-08-13 05:04:10"
"OUT-JC-SO-2026-0891-ITEM-1","OUT-JC-SO-2026-0891-ITEM-1","SO-2026-0891","ITEM-1","VEN-01","Apex Acrylic Cutters & Engravers","3mm Acrylic 3D LED Glow Sign Board","1","19200","SENT","2026-08-02","2026-07-29","","2026-08-13 05:04:10"
"OUT-JC-SO-2026-0892-ITEM-101","OUT-JC-SO-2026-0892-ITEM-101","SO-2026-0892","ITEM-101","VEN-02","National Flex & Billboard Printing","Star Flex Banner Printing (240gsm Frontlit)","10","3750","SENT","2026-07-31","2026-07-30","","2026-08-13 05:04:10"
"OUT-JC-SO-2026-0893-ITEM-201","OUT-JC-SO-2026-0893-ITEM-201","SO-2026-0893","ITEM-201","VEN-02","National Flex & Billboard Printing","Canopy Tent 6x6 ft with 4-Side Branded Flex","2","7600","SENT","2026-08-05","2026-07-30","","2026-08-13 05:04:10"
"OUT-JC-SO-2026-0870-ITEM-401","OUT-JC-SO-2026-0870-ITEM-401","SO-2026-0870","ITEM-401","VEN-03","LaserCraft India (Metal Letters)","Stainless Steel Titanium Gold 3D Metal Letters","1","23400","SENT","2026-06-25","2026-06-18","","2026-08-13 05:04:10"
"OUT-JC-SO-2026-0850-ITEM-501","OUT-JC-SO-2026-0850-ITEM-501","SO-2026-0850","ITEM-501","VEN-02","National Flex & Billboard Printing","Star Flex Banner Printing (240gsm Frontlit)","15","22500","SENT","2026-05-15","2026-05-10","","2026-08-13 05:04:10"
